age,language,sex,production
20,Cantonese,Female,181
21,Cantonese,Male,322
21,Cantonese,Male,195
21,Cantonese,Male,314
21,Cantonese,Male,80
21,Cantonese,Male,170
21,Cantonese,Female,109
21,Cantonese,Female,270
21,Cantonese,Female,155
21,Cantonese,Female,64
21,Cantonese,Female,189
21,Cantonese,Female,243
21,Cantonese,Female,51
22,Cantonese,Male,82
22,Cantonese,Male,91
22,Cantonese,Male,41
22,Cantonese,Male,230
22,Cantonese,Female,22
22,Cantonese,Female,200
22,Cantonese,Female,346
22,Cantonese,Female,218
22,Cantonese,Female,362
23,Cantonese,Male,358
23,Cantonese,Male,614
23,Cantonese,Male,47
23,Cantonese,Male,53
23,Cantonese,Male,234
23,Cantonese,Male,495
23,Cantonese,Female,542
23,Cantonese,Female,458
23,Cantonese,Female,646
23,Cantonese,Female,416
23,Cantonese,Female,333
23,Cantonese,Female,256
23,Cantonese,Female,143
23,Cantonese,Female,39
23,Cantonese,Female,87
23,Cantonese,Female,441
23,Cantonese,Female,500
24,Cantonese,Male,310
24,Cantonese,Male,432
24,Cantonese,Male,483
24,Cantonese,Male,538
24,Cantonese,Female,527
24,Cantonese,Female,372
24,Cantonese,Female,513
24,Cantonese,Female,463
24,Cantonese,Female,727
24,Cantonese,Female,361
24,Cantonese,Female,130
25,Cantonese,Male,589
25,Cantonese,Male,226
25,Cantonese,Male,244
25,Cantonese,Male,56
25,Cantonese,Male,634
25,Cantonese,Male,465
25,Cantonese,Male,181
25,Cantonese,Male,276
25,Cantonese,Male,352
25,Cantonese,Male,344
25,Cantonese,Male,193
25,Cantonese,Female,590
25,Cantonese,Female,61
25,Cantonese,Female,125
25,Cantonese,Female,434
25,Cantonese,Female,282
25,Cantonese,Female,16
25,Cantonese,Female,506
25,Cantonese,Female,309
25,Cantonese,Female,455
26,Cantonese,Male,525
26,Cantonese,Male,653
26,Cantonese,Male,24
26,Cantonese,Male,15
26,Cantonese,Male,627
26,Cantonese,Female,470
26,Cantonese,Female,610
26,Cantonese,Female,564
26,Cantonese,Female,410
26,Cantonese,Female,348
27,Cantonese,Male,546
27,Cantonese,Male,752
27,Cantonese,Male,311
27,Cantonese,Male,309
27,Cantonese,Female,519
27,Cantonese,Female,627
27,Cantonese,Female,495
27,Cantonese,Female,441
27,Cantonese,Female,340
28,Cantonese,Male,316
28,Cantonese,Male,602
28,Cantonese,Male,581
28,Cantonese,Female,438
28,Cantonese,Female,557
28,Cantonese,Female,522
29,Cantonese,Male,480
29,Cantonese,Male,577
29,Cantonese,Male,506
29,Cantonese,Male,19
29,Cantonese,Male,437
29,Cantonese,Female,626
29,Cantonese,Female,551
29,Cantonese,Female,223
29,Cantonese,Female,297
29,Cantonese,Female,407
29,Cantonese,Female,435
29,Cantonese,Female,347
30,Cantonese,Male,549
30,Cantonese,Male,101
30,Cantonese,Male,469
30,Cantonese,Male,495
30,Cantonese,Male,65
30,Cantonese,Male,75
30,Cantonese,Male,653
30,Cantonese,Female,470
30,Cantonese,Female,479
30,Cantonese,Female,374
30,Cantonese,Female,339
30,Cantonese,Female,709
16,Cantonese,Male,17
16,Cantonese,Male,76
16,Cantonese,Male,19
16,Cantonese,Female,130
16,Cantonese,Female,57
17,Cantonese,Male,14
17,Cantonese,Male,50
17,Cantonese,Male,197
17,Cantonese,Male,15
17,Cantonese,Male,21
17,Cantonese,Male,22
17,Cantonese,Male,189
17,Cantonese,Female,130
17,Cantonese,Female,80
17,Cantonese,Female,30
17,Cantonese,Female,205
17,Cantonese,Female,108
18,Cantonese,Male,11
18,Cantonese,Male,7
18,Cantonese,Male,169
18,Cantonese,Male,11
18,Cantonese,Female,41
18,Cantonese,Female,346
18,Cantonese,Female,48
18,Cantonese,Female,150
18,Cantonese,Female,111
19,Cantonese,Male,196
19,Cantonese,Male,288
19,Cantonese,Male,53
19,Cantonese,Male,35
19,Cantonese,Male,20
19,Cantonese,Male,92
19,Cantonese,Male,106
19,Cantonese,Male,361
19,Cantonese,Female,36
19,Cantonese,Female,5
19,Cantonese,Female,101
19,Cantonese,Female,99
20,Cantonese,Male,381
20,Cantonese,Male,384
20,Cantonese,Male,51
20,Cantonese,Male,256
20,Cantonese,Female,383
20,Cantonese,Female,148
20,Cantonese,Female,229
20,Cantonese,Female,178
21,Cantonese,Male,42
21,Cantonese,Male,44
21,Cantonese,Male,218
21,Cantonese,Male,22
21,Cantonese,Male,19
21,Cantonese,Male,468
21,Cantonese,Female,47
21,Cantonese,Female,199
21,Cantonese,Female,384
21,Cantonese,Female,282
21,Cantonese,Female,178
21,Cantonese,Female,26
21,Cantonese,Female,204
22,Cantonese,Male,13
22,Cantonese,Male,164
22,Cantonese,Male,102
22,Cantonese,Male,198
22,Cantonese,Female,451
22,Cantonese,Female,202
22,Cantonese,Female,414
22,Cantonese,Female,34
22,Cantonese,Female,332
22,Cantonese,Female,261
22,Cantonese,Female,108
23,Cantonese,Male,67
23,Cantonese,Male,82
23,Cantonese,Male,10
23,Cantonese,Male,376
23,Cantonese,Male,311
23,Cantonese,Male,79
23,Cantonese,Male,216
23,Cantonese,Female,267
23,Cantonese,Female,698
23,Cantonese,Female,423
24,Cantonese,Male,29
24,Cantonese,Male,33
24,Cantonese,Male,321
24,Cantonese,Male,545
24,Cantonese,Male,81
24,Cantonese,Male,317
24,Cantonese,Male,72
24,Cantonese,Male,518
24,Cantonese,Female,169
24,Cantonese,Female,301
24,Cantonese,Female,215
24,Cantonese,Female,399
24,Cantonese,Female,33
24,Cantonese,Female,213
24,Cantonese,Female,69
24,Cantonese,Female,492
25,Cantonese,Male,371
25,Cantonese,Male,453
25,Cantonese,Male,264
25,Cantonese,Female,682
25,Cantonese,Female,294
25,Cantonese,Female,316
25,Cantonese,Female,403
26,Cantonese,Male,103
26,Cantonese,Male,101
26,Cantonese,Male,502
26,Cantonese,Male,675
26,Cantonese,Male,470
26,Cantonese,Male,696
26,Cantonese,Male,144
26,Cantonese,Male,497
26,Cantonese,Female,210
26,Cantonese,Female,137
26,Cantonese,Female,646
26,Cantonese,Female,517
26,Cantonese,Female,286
27,Cantonese,Male,555
27,Cantonese,Male,134
27,Cantonese,Male,553
